p1,p2,p3,p4,p5,p6
1.816216,1.80698,1.7978242,1.7904099,1.7837065,1.7793795
1.8162461,1.8074008,1.7982385,1.7919054,1.7839124,1.7790879
1.8164208,1.8066094,1.7983828,1.7912305,1.7838475,1.7794034
1.8162922,1.8068046,1.798408,1.79118,1.7840367,1.7794454
1.8165907,1.8073671,1.7984383,1.7912973,1.783757,1.7793693
1.8161985,1.8071854,1.7986348,1.791165,1.7840481,1.7794584
1.8163087,1.8080697,1.7989685,1.7908471,1.784524,1.7793767
1.8162481,1.8068933,1.7985901,1.7912831,1.7840374,1.7792549
1.8167033,1.8072342,1.7986484,1.7910748,1.7848659,1.7794661
1.8170554,1.8069937,1.7986683,1.7911061,1.7842935,1.779379
